iter	Logloss
0	0.6037653029
1	0.5251858267
2	0.4642606114
3	0.426102592
4	0.3951578463
5	0.3660760089
6	0.3496827632
7	0.335098838
8	0.31865418
9	0.3059034821
10	0.2956978621
11	0.2865878788
12	0.2806614608
13	0.2716004799
14	0.2665049498
15	0.2611867183
16	0.2570149078
17	0.2526789031
18	0.2482255808
19	0.2452857966
20	0.2405169477
21	0.2370949206
22	0.2343430465
23	0.2308338929
24	0.2282285723
25	0.2262982003
26	0.22392505
27	0.2219414997
28	0.2201957914
29	0.2169077112
30	0.2137588065
31	0.2116014583
32	0.2079261754
33	0.2064627595
34	0.2051424023
35	0.2029402595
36	0.2008009419
37	0.1988195474
38	0.1975374676
39	0.1957072152
40	0.193690372
41	0.1918454889
42	0.1898351163
43	0.1878417858
44	0.186845813
45	0.1855760086
46	0.1838984401
47	0.1826569578
48	0.181475182
49	0.1806643892
50	0.1790848247
51	0.1780691454
52	0.1769619331
53	0.1752397043
54	0.1738217271
55	0.1725513366
56	0.170509454
57	0.1692621783
58	0.1678976377
59	0.1657002651
60	0.1640571816
61	0.1621596848
62	0.1614165345
63	0.1605070166
64	0.1584598105
65	0.1567742818
66	0.1551632373
67	0.1540824842
68	0.1530731991
69	0.1520242197
70	0.1513170365
71	0.1504657441
72	0.1497730087
73	0.148361596
74	0.1472195425
75	0.145800085
76	0.1438166878
77	0.14203588
78	0.141115146
79	0.1398637441
80	0.1387955003
81	0.1380703017
82	0.1372192214
83	0.1363223443
84	0.1353542596
85	0.1330647815
86	0.1326420089
87	0.13133992
88	0.1298117734
89	0.1292583513
90	0.127981318
91	0.1272351503
92	0.1261423797
93	0.1253238718
94	0.1246443554
95	0.1234207081
96	0.1226408102
97	0.1212944864
98	0.1200663511
99	0.1194112841
100	0.1189174118
101	0.1185439143
102	0.1176445677
103	0.116686235
104	0.1157836049
105	0.1152878136
106	0.1144815381
107	0.1139352616
108	0.1132262137
109	0.1126737128
110	0.1116756941
111	0.1107317599
112	0.1096672346
113	0.1091453093
114	0.1083755208
115	0.1079488249
116	0.1069552493
117	0.1056129854
118	0.1048935402
119	0.1043064274
120	0.1034763698
121	0.1024794127
122	0.1017420426
123	0.1009548062
124	0.1000028711
125	0.09850788921
126	0.09778567553
127	0.09698652304
128	0.09631241854
129	0.09544271517
130	0.09473000616
131	0.09427314107
132	0.0936788418
133	0.09293780002
134	0.09255792342
135	0.09222132066
136	0.09187081533
137	0.09127584979
138	0.09094718998
139	0.09092349381
140	0.09008843415
141	0.08954583284
142	0.08842406474
143	0.08811376637
144	0.08725459526
145	0.08692607014
146	0.08636685313
147	0.08552621846
148	0.08440187462
149	0.083828093
150	0.08313373142
151	0.0827086495
152	0.08214764246
153	0.08159304302
154	0.08076201603
155	0.08014712173
156	0.07982545685
157	0.07930754301
158	0.07929093703
159	0.07847565567
160	0.07803610412
161	0.07732953046
162	0.0769644318
163	0.07620804348
164	0.07579869382
165	0.07538135266
166	0.07482902965
167	0.07460894777
168	0.07397697111
169	0.07355044047
170	0.07267456288
171	0.07192009693
172	0.07138116545
173	0.07043156177
174	0.07022544636
175	0.06931687196
176	0.06913560534
177	0.06876294965
178	0.06851562832
179	0.0684028419
180	0.0676244182
181	0.06728102273
182	0.06683913525
183	0.06639407952
184	0.06578470899
185	0.06514390228
186	0.06468981346
187	0.06454012725
188	0.06395151369
189	0.0635363934
190	0.06300909537
191	0.06278616684
192	0.06239317422
193	0.06185468946
194	0.06169478778
195	0.06138990195
196	0.06106877069
197	0.06085573893
198	0.06026642848
199	0.05962636522
200	0.05908718501
201	0.0585994595
202	0.05830274636
203	0.05791784816
204	0.05761874905
205	0.0573489165
206	0.05699960788
207	0.05660213247
208	0.05639865935
209	0.05593052957
210	0.05558830431
211	0.05530319669
212	0.05514221636
213	0.05505894882
214	0.05471924519
215	0.05450676137
216	0.05411764065
217	0.05392614301
218	0.05352173647
219	0.0532038819
220	0.05299166241
221	0.05271573582
222	0.0522763669
223	0.05210837392
224	0.05194651277
225	0.05190844297
226	0.05190217698
227	0.05173920467
228	0.05128324331
229	0.05074673577
230	0.05032515568
231	0.05012842011
232	0.04980956448
233	0.04952664143
234	0.04934835489
235	0.04917818821
236	0.04898662813
237	0.04872660818
238	0.0483908208
239	0.04811340464
240	0.04779132922
241	0.04762772237
242	0.04699296492
243	0.04668375781
244	0.04653385167
245	0.04626398825
246	0.04606103244
247	0.04591908088
248	0.04564642967
249	0.04536576293
250	0.04509443338
251	0.04490142162
252	0.04476662534
253	0.04455031382
254	0.04425787238
255	0.04378991836
256	0.04335243973
257	0.04304742916
258	0.04275618664
259	0.04259717809
260	0.0422052932
261	0.04183243093
262	0.04158003245
263	0.04136950155
264	0.04115800361
265	0.04084243517
266	0.04054275962
267	0.04040418403
268	0.04020021753
269	0.04003272754
270	0.03973926693
271	0.03950136376
272	0.03930396311
273	0.03889987607
274	0.03870164634
275	0.03852297589
276	0.03840908927
277	0.03809920427
278	0.03791464236
279	0.03775921783
280	0.03748097706
281	0.03716247199
282	0.03694896327
283	0.03669549772
284	0.03645549579
285	0.03621835705
286	0.03615874735
287	0.03590958485
288	0.03555191807
289	0.03539757667
290	0.03527221847
291	0.03495540766
292	0.03482241231
293	0.03475892858
294	0.0345178764
295	0.03434791958
296	0.03412611402
297	0.03405578839
298	0.03375014617
299	0.03366255436
300	0.03342385176
301	0.03337976708
