iter	Passed	Remaining
438	2178	302
439	2182	297
440	2187	292
441	2191	287
442	2195	282
443	2200	277
444	2205	272
445	2209	267
446	2213	262
447	2218	257
448	2222	252
449	2227	247
450	2231	242
451	2236	237
452	2240	232
453	2245	227
454	2249	222
455	2254	217
456	2260	212
457	2268	208
458	2273	203
459	2277	198
460	2282	193
461	2286	188
462	2290	183
463	2295	178
464	2299	173
465	2303	168
466	2307	163
467	2311	158
468	2315	153
469	2319	148
470	2323	143
471	2327	138
472	2332	133
473	2337	128
474	2341	123
475	2345	118
476	2350	113
477	2354	108
478	2358	103
479	2362	98
480	2366	93
481	2371	88
482	2375	83
483	2379	78
484	2384	73
485	2388	68
486	2393	63
487	2397	58
488	2402	54
489	2406	49
490	2410	44
491	2415	39
492	2419	34
493	2423	29
494	2428	24
495	2432	19
496	2436	14
497	2441	9
498	2445	4
499	2450	0
